,Brand,Bike_Name,CC,KMPL,BHP,KerbWeight,ExShowroomPrice,Rating,Noofratings
0,Royal Enfield,Royal Enfield Hunter 350,349.34 ,35,20.2,177,"1,49,900",4.8,87
1,Royal Enfield,Royal Enfield Classic 350,349 ,34,20.2,195,"1,95,300",4.7,622
2,Royal Enfield,Royal Enfield Continental GT 650,648 ,5,47,211,"3,18,796",4.8,1083
3,Royal Enfield,Royal Enfield Bullet 350,349 ,5,20.2,195,"1,74,875",4.7,907
4,Royal Enfield,Royal Enfield Meteor 350,349.34 ,33,19.94,191,"2,08,191",4.6,830
5,Royal Enfield,Royal Enfield Guerrilla 450,452 ,30,39.47,185,"2,39,000",4.7,137
6,Royal Enfield,Royal Enfield Himalayan 450,452 ,30,39.47,196,"2,85,000",4.7,254
7,Royal Enfield,Royal Enfield Shotgun 650,648 ,22,46.39,240,"3,59,430",4.7,105
8,Royal Enfield,Royal Enfield Super Meteor 650,648 ,29,46.3,241,"3,68,085",4.8,151
9,Royal Enfield,Royal Enfield Classic 650,647.95 ,30,46.39,243,"3,37,000",4.6,17
10,Royal Enfield,Royal Enfield Interceptor 650,648 ,24,47,213,"3,02,797",4.6,429
11,Royal Enfield,Royal Enfield Goan Classic 350,349 ,33,20.2,197,"2,35,000",4.8,37
12,Royal Enfield,Royal Enfield Scram 440,443 ,30,25.4,196,"2,08,000",4.2,26
13,Royal Enfield,Royal Enfield Bear 650,648 ,25,46.8,216,"3,39,005",4.6,18
14,Royal Enfield,Royal Enfield Himalayan 750,,,,,,,
15,Royal Enfield,Royal Enfield Scrambler 450,,,,,,,
16,Royal Enfield,Royal Enfield Flying Flea C6,,,,,,,
17,Royal Enfield,Royal Enfield Bullet 650 Twin,,,,,,,
18,Royal Enfield,Royal Enfield Continental GT 450,,,,,,,
19,Royal Enfield,Royal Enfield Himalayan Electric,,,,,,,
20,Royal Enfield,Royal Enfield Himalayan Raid 450,,,,,,,
21,Royal Enfield,Royal Enfield Flying Flea S6 Scrambler,,,,,,,
22,Bajaj,Bajaj Pulsar N160,164.82 ,49,15.68,152,"1,22,956",4.6,764
23,Bajaj,Bajaj Pulsar NS200,199.5 ,5,24.13,158,"1,52,429",4.7,3106
24,Bajaj,Bajaj Pulsar 125,124.4 ,50,11.64,140,"86,811",4.4,1306
25,Bajaj,Bajaj Pulsar NS400Z,373 ,31,39.4,174,"1,83,763",4.6,340
26,Bajaj,Bajaj Pulsar NS125,124.45 ,50,11.8,144,"1,03,252",4.5,764
27,Bajaj,Bajaj Pulsar 150,149.5 ,5,13.8,148,"1,14,019",4.5,4228
28,Bajaj,Bajaj Pulsar NS160,160.3 ,48,17.03,152,"1,39,460",4.6,1560
29,Bajaj,Bajaj Pulsar RS 200,199.5 ,35,24.1,166,"1,72,908",4.7,2069
30,Bajaj,Bajaj Dominar 400,373.3 ,27,39.42,193,"2,26,294",4.7,757
31,Bajaj,Bajaj Pulsar 220 F,220 ,5,20.11,160,"1,40,062",4.7,292
32,Bajaj,Bajaj Chetak,,,,,"1,09,504",,220
33,Bajaj,Bajaj Dominar 250,248.8 ,32,26.63,180,"1,80,375",4.5,351
34,Bajaj,Bajaj Pulsar N250,249 ,39,24.1,162,"1,46,641",4.6,265
35,Bajaj,Bajaj Pulsar N125,124.58 ,57,11.83,125,"94,741",4.5,116
36,Bajaj,Bajaj Pulsar N150,149.68 ,48,14.3,145,"1,21,832",4.6,244
37,Bajaj,Bajaj Freedom,125 ,90,9.3,149,"93,276",4.7,550
38,Bajaj,Bajaj Platina 100,102 ,72,7.79,117,"66,913",4.5,1770
39,Bajaj,Bajaj Platina 110,115.45 ,70,8.48,119,"69,301",4.4,626
40,Bajaj,Bajaj CT 110,115.45 ,70,8.48,127,"68,593",4.3,417
41,Bajaj,Bajaj Avenger Street 160,160 ,45,14.79,156,"1,16,432",4.4,410
42,Bajaj,Bajaj Avenger Cruise 220,220 ,5,18.76,163,"1,46,570",4.4,853
43,Bajaj,Bajaj Pulsar P150,149.68 ,5,14.29,140,"1,17,191",4.4,82
44,Bajaj,Bajaj Avenger Street 220,220 ,40,18.76,163,"1,43,998",4.5,52
45,Bajaj,Bajaj Chetak [2024],,,,,"1,00,665",3.7,460
46,Honda,Honda SP 125,123.94 ,62,10.72,116,"90,117",4.5,3244
47,Honda,Honda Activa,109.51 ,45,7.73,106,"81,104",4.4,2939
48,Honda,Honda Shine,123.94 ,55,10.59,113,"83,839",4.4,3494
49,Honda,Honda Unicorn,162.71 ,54,12.73,140,"1,17,999",4.4,1297
50,Honda,Honda Activa 125,123.92 ,47,8.19,110,"84,066",4.5,1749
51,Honda,Honda CB350,348.66 ,35,20.7,187,"2,14,762",4.7,181
52,Honda,Honda SP160,162.71 ,50,13.27,139,"1,21,226",4.5,256
53,Honda,Honda Activa e,,,,,"1,17,000",4.5,76
54,Honda,Honda Hornet 2.0,184.4 ,41,17.03,142,"1,43,000",4.2,544
55,Honda,Honda Hness CB350,348.36 ,35,20.78,181,"2,10,480",4.5,200
56,Honda,Honda Dio,109.51 ,48,7.75,103,"77,133",4.5,2020
57,Honda,Honda CB350RS,348.36 ,35,20.78,180,"2,15,503",4.6,125
58,Honda,Honda Shine 100,98.98 ,5,7.28,99,"66,786",4.7,557
59,Honda,Honda Dio 125,123.92 ,47,8.16,104,"89,342",4.6,137
60,Honda,Honda NX200,184.4 ,,,147,"1,68,478",4.7,9
61,Honda,Honda Rebel 500,471 ,,,191,"5,12,000",,
62,Honda,Honda CBR650R,649 ,,,209,"10,40,000",,
63,Honda,Honda CB300R,286 ,31,30.7,146,"2,40,005",4.7,63
64,Honda,Honda Livo,109.51 ,60,8.67,113,"81,831",4.4,1120
65,Honda,Honda CB200X,184.4 ,43,17.03,147,"1,51,095",4.4,170
66,Honda,Honda CB650R,649 ,,,205,"9,60,000",,
67,Honda,Honda CD 110 Dream,109.51 ,62,8.67,112,"76,012",4.3,479
68,Honda,Honda CB300F Flex-Fuel,293.52 ,35,24.54,153,"1,70,006",4.6,20
69,Honda,Honda NX500,471 ,,,196,"5,90,000",4.6,20
70,Honda,Honda QC1,,,,,"90,000",4.5,23
71,Honda,Honda Goldwing Tour,1833 ,5,124.7,390,"39,77,923",4.7,22
72,Honda,Honda Africa Twin,1082 ,,,239,"16,01,500",4.9,9
73,Honda,Honda Transalp XL750,755 ,,,208,"10,99,990",,6
74,Honda,Honda X-ADV,745 ,,,,"11,90,000",,
75,Honda,Honda CBR300R,,,,,,,
76,Honda,Honda PCX 125,,,,,,,
77,Honda,Honda Activa 7G,,,,,,,
78,Honda,Honda CB750 Hornet,,,,,,,
79,Honda,Honda CRF300L,,,,,,,
80,Honda,Honda CRF300 Rally,,,,,,,
81,Honda,Honda CB500F,,,,,,,
82,Honda,Honda CBR500R,,,,,,,
83,Honda,Honda CB1000R,,,,,,,
84,TVS,TVS Apache RTR 160,159.7 ,45,15.82,137,"1,18,142",4.5,3109
85,TVS,TVS Raider 125,124.8 ,57,11.2,123,"90,094",4.4,2457
86,TVS,TVS Jupiter,113.3 ,53,7.91,105,"80,552",4.6,701
87,TVS,TVS Ntorq 125,124.8 ,42,9.25,118,"94,645",4.4,2086
88,TVS,TVS Ronin,225.9 ,40,20.1,159,"1,35,551",4.6,661
89,TVS,TVS Apache RTR 160 4V,159.7 ,45,17.31,144,"1,23,670",4.5,2155
90,TVS,TVS Apache RR 310,312.2 ,33,37.48,174,"2,78,063",4.7,120
91,TVS,TVS Jupiter 125,124.8 ,53,8.04,108,"88,834",,633
92,TVS,TVS iQube,,,,,"1,02,338",3.6,472
93,TVS,TVS Sport,109.7 ,70,8.08,112,"60,881",4.4,1435
94,TVS,TVS Apache RTR 310,312.12 ,32,35.08,169,"2,50,054",4.8,211
95,TVS,TVS Apache RTR 200 4V,197.75 ,5,20.54,152,"1,49,912",4.5,1677
96,TVS,TVS XL 100 Heavy Duty,99.7 ,55,4.3,88,"45,791",4.4,333
97,TVS,TVS Apache RTR 180,177.4 ,50,16.78,140,"1,35,619",4.6,668
98,TVS,TVS Radeon,109.7 ,62,8.08,113,"74,207",4.4,549
99,TVS,TVS Star City Plus,109.7 ,70,8.08,115,"74,808",4.4,721
100,TVS,TVS Zest 110,109.7 ,45,7.71,103,"75,199",4.2,208
101,TVS,TVS XL 100 Comfort,99.7 ,55,4.3,86,"46,728",4.2,287
102,TVS,TVS X,,,,,"2,52,319",3.4,22
103,TVS,TVS XL EV,,,,,,,
104,TVS,TVS Apache RTX 300,,,,,,,
105,TVS,TVS Jupiter CNG,,,,,,,
106,TVS,TVS Jupiter Electric,,,,,,,
107,TVS,TVS RTS X,,,,,,,
108,TVS,TVS Raider 125 Flex-Fuel,,,,,,,
109,Yamaha,Yamaha MT 15 V2,155 ,5,18.1,141,"1,70,583",4.7,1353
110,Yamaha,Yamaha R15 V4,155 ,5,18.1,141,"1,85,255",4.8,1192
111,Yamaha,Yamaha FZS FI V4,149 ,49,12.2,136,"1,31,283",4.6,387
112,Yamaha,Yamaha FZ S Hybrid,149 ,51,12.2,136,"1,45,385",4.6,27
113,Yamaha,Yamaha Aerox 155,155 ,40,14.75,126,"1,50,882",4.6,253
114,Yamaha,Yamaha FZ S FI,149 ,48,12.2,135,"1,23,485",4.3,1340
115,Yamaha,Yamaha Ray ZR 125,125 ,5,8.04,99,"88,396",4.3,411
116,Yamaha,Yamaha YZF-R3,321 ,29,41.4,169,"3,60,278",3.4,47
117,Yamaha,Yamaha FZ X,149 ,48,12.2,139,"1,39,092",3.9,568
118,Yamaha,Yamaha MT-03,321 ,35,41.4,167,"3,50,278",,48
119,Yamaha,Yamaha FZ FI,149 ,45,12.2,135,"1,17,842",4.6,507
120,Yamaha,Yamaha R15S,155 ,47,18.1,142,"1,68,355",4.8,224
121,Yamaha,Yamaha Fascino 125,125 ,50,8.04,99,"83,568",4.3,272
122,Yamaha,Yamaha YZF-R7,,,,,,,
123,Yamaha,Yamaha Tenere 700,,,,,,,
124,Yamaha,Yamaha MT-09,,,,,,,
125,Yamaha,Yamaha Lander 250,,,,,,,
126,Yamaha,Yamaha YZF R9,,,,,,,
127,Yamaha,Yamaha Nmax 155,,,,,,,
128,Yamaha,Yamaha MT-07,,,,,,,
129,Yamaha,Yamaha XSR 155,,,,,,,
130,Yamaha,Yamaha RX 100,,,,,,,
131,Hero,Hero Xtreme 125R,124.7 ,59,11.4,136,"98,232",4.6,1224
132,Hero,Hero Splendor Plus,97.2 ,61,7.91,112,"74,932",4.6,3973
133,Hero,Hero Xtreme 250R,249.03 ,36,29.5,167.7,"1,80,000",4.8,93
134,Hero,Hero Xpulse 210,210 ,38,24.2,168,"1,75,800",4.8,62
135,Hero,Hero Splendor Plus Xtec,97.2 ,70,7.9,112,"80,750",4.6,642
136,Hero,Hero Xtreme 160R,163.2 ,5,14.79,139.5,"1,11,309",4.4,531
137,Hero,Hero HF Deluxe,97.2 ,70,7.91,110,"56,701",4.5,3420
138,Hero,Hero Xpulse 200 4V,199.6 ,5,18.9,159,"1,51,235",4.5,515
139,Hero,Hero Super Splendor,124.7 ,5,10.72,122,"81,030",4.4,1380
140,Hero,Hero Xtreme 160R 4V,163.2 ,46,16.6,144,"1,28,375",4.7,122
141,Hero,Hero Xoom 125,124.6 ,48,9.8,120,"88,465",4.6,49
142,Hero,Hero Glamour,124.7 ,66,10.39,121.3,"85,080",4.1,1168
143,Hero,Hero Destini 125,124.6 ,56,,115,"81,337",4.6,43
144,Hero,Hero Karizma XMR,210 ,35,25.15,163.5,"1,81,400",4.5,193
145,Hero,Hero Pleasure +,110.9 ,50,,104,"70,611",4.5,452
146,Hero,Hero Mavrick 440,440 ,32,27,191,"1,99,500",4.8,126
147,Hero,Hero Passion Plus,97.2 ,5,7.91,115,"79,498",4.6,295
148,Hero,Hero Xoom,110.9 ,45,8.05,108,"76,212",4.4,148
149,Hero,Hero Super Splendor Xtec,124.7 ,61,10.72,122,"84,975",4.5,142
150,Hero,Hero Glamour Xtec,124.7 ,54,10.72,122,"90,099",4.1,201
151,Hero,Hero Xoom 160,156 ,41,14.6,142,"1,48,500",4.8,28
152,Hero,Hero Passion Xtec,113.2 ,60,,117,"81,775",3.8,203
153,Hero,Hero Pleasure + Xtec,110.9 ,50,,106,"79,834",3.8,83
154,Hero,Hero Destini Prime,124.6 ,50,,115,"75,969",4.7,59
155,Hero,Hero Mavrick 440 Scrambler,,,,,,,
156,Hero,Hero Xpulse 421,,,,,,,
157,Hero,Hero Karizma XMR 250,,,,,,,
158,Hero,Hero Mavrick 440 [2025],,,,,,,
159,Hero,Hero Karizma 400,,,,,,,
160,KTM,KTM 200 Duke,199.5 ,33,24.67,159,"2,05,516",4.7,525
161,KTM,KTM 250 Duke,249.07 ,32,30.57,162.8,"2,29,995",4.8,274
162,KTM,KTM 390 Duke,398.63 ,5,45.3,168.3,"2,95,403",4.8,308
163,KTM,KTM 1390 Super Duke R,1350 ,30,187.7,210,"22,95,800",4.5,25
164,KTM,KTM 390 Adventure,398.63 ,,,182,"3,68,259",4.8,10
165,KTM,KTM RC 200,199.5 ,35,24.6,160,"2,33,004",4.4,209
166,KTM,KTM RC 390,373.27 ,29,42.9,172,"3,23,006",4.7,126
167,KTM,KTM 250 Adventure,248.76 ,,,177,"2,60,397",3.7,10
168,KTM,KTM 390 Adventure X,398.63 ,,,181,"2,91,699",4.7,6
169,KTM,KTM 890 Duke R,889 ,,,180,"14,50,000",4.3,6
170,KTM,KTM 390 Enduro R,398.63 ,47,45.37,177,"3,39,028",,
171,KTM,KTM 390 Adventure [2024],373.27 ,28,42.9,177,"3,41,878",4.7,62
172,KTM,KTM 890 Adventure R,889 ,,,215,"15,80,000",,1
173,KTM,KTM 390 Adventure X [2024],373.27 ,32,42.9,177,"2,83,797",4.7,41
174,KTM,KTM 250 Adventure [2024],248.76 ,30,29.63,177,"2,46,651",4.7,52
175,KTM,KTM 1290 Super Adventure S,1301 ,,,250,"22,73,900",,2
176,KTM,KTM 450 SX-F,449.9 ,,,107,"10,25,000",,
177,KTM,KTM 250 SX-F,249.9 ,,,104,"9,58,000",,
178,KTM,KTM 350 EXC-F,349.7 ,,,103.2,"12,96,000",,1
179,KTM,KTM 85 SX,84.9 ,,,75,"6,69,000",,2
180,KTM,KTM 65 SX,64.9 ,,,62,"5,46,500",,
181,KTM,KTM 50 SX,49.9 ,,,45,"4,75,000",3.7,3
182,KTM,KTM 390 SMC R,,,,,,,
183,KTM,KTM RC 160,,,,,,,
184,KTM,KTM 160 Duke,,,,,,,
185,KTM,KTM 890 Duke,,,,,,,
186,KTM,KTM 125 Duke [2025],,,,,,,
187,KTM,KTM 390 Adventure R,,,,,,,
188,KTM,KTM 650 Duke,,,,,,,
189,Kawasaki,Kawasaki Z900,948 ,18,123.64,212,"9,38,000",4.9,224
190,Kawasaki,Kawasaki Ninja ZX-10R,998 ,37,200.21,207,"18,50,000",4.9,312
191,Kawasaki,Kawasaki Ninja 300,296 ,25,38.88,179,"3,43,000",4.7,121
192,Kawasaki,Kawasaki Ninja 500,451 ,21,44.7,171,"5,29,000",,3
193,Kawasaki,Kawasaki W175,177 ,40,12.8,135,"1,22,014",4.2,70
194,Kawasaki,Kawasaki Ninja ZX-6R,636 ,5,122.03,198,"11,53,000",,48
195,Kawasaki,Kawasaki Eliminator,451 ,29,44.7,176,"5,62,037",4.6,19
196,Kawasaki,Kawasaki Z650,649 ,27,67.31,191,"6,65,078",4.9,77
197,Kawasaki,Kawasaki Ninja H2 SX,998 ,,,266,"32,91,000",4.8,16
198,Kawasaki,Kawasaki Ninja ZX-4R,399 ,,,189,"8,79,000",4.8,31
199,Kawasaki,Kawasaki Ninja 650,649 ,,,196,"7,27,000",4.5,2
200,Kawasaki,Kawasaki Vulcan S,649 ,,,235,"7,10,000",3.8,4
201,Kawasaki,Kawasaki Z H2,998 ,,,239,"23,48,138",4.6,8
202,Kawasaki,Kawasaki KLX 230,233 ,,,139,"3,30,000",,2
203,Kawasaki,Kawasaki Ninja ZX-4RR,399 ,,,189,"9,42,000",,7
204,Kawasaki,Kawasaki Ninja 1100SX,1099 ,,,238,"13,49,000",,6
205,Kawasaki,Kawasaki Ninja H2 SX SE,998 ,,,268,"32,95,065",,10
206,Kawasaki,Kawasaki Versys 650,649 ,,,218,"7,93,000",,
207,Kawasaki,Kawasaki Z650RS,649 ,,,192,"7,20,000",4.6,8
208,Kawasaki,Kawasaki Z900RS,948 ,,,215,"17,47,000",,2
209,Kawasaki,Kawasaki KLX 140R F,144 ,,,99,"4,11,000",,
210,Kawasaki,Kawasaki KLX110R L,112 ,,,,"3,12,000",,2
211,Kawasaki,Kawasaki KLX 300R,292 ,,,128,"5,60,000",,
212,Kawasaki,Kawasaki KX 85,84 ,,,,"4,20,000",,1
213,Kawasaki,Kawasaki KX112,112 ,,,,"4,87,800",4.5,2
214,Kawasaki,Kawasaki KX65,64 ,,,,"3,12,000",,1
215,Kawasaki,Kawasaki Versys 1100,1099 ,,,257,"12,90,000",,1
216,Kawasaki,Kawasaki KLX230RS,233 ,,,115,"5,21,000",,3
217,Kawasaki,Kawasaki KX250,249 ,,,,"7,99,032",,
218,Kawasaki,Kawasaki KLX450R,449 ,,,,"8,99,000",4.5,2
219,Kawasaki,Kawasaki KX450,449 ,,,,"9,28,000",,2
220,Kawasaki,Kawasaki Versys-X 300,296 ,,,179,"3,79,900",,
221,Kawasaki,Kawasaki W230,,,,,,,
222,Kawasaki,Kawasaki Z900 [2025],,,,,,,
223,Suzuki,Suzuki Access 125,124 ,46,8.3,106,"84,442",4.6,256
224,Suzuki,Suzuki Burgman Street 125,124 ,5,8.58,110,"96,480",4.4,919
225,Suzuki,Suzuki Gixxer SF,155 ,45,13.4,148,"1,47,942",4.5,642
226,Suzuki,Suzuki Hayabusa,1340 ,5,190,266,"16,90,000",,3
227,Suzuki,Suzuki V-Strom SX,249 ,36,26.1,167,"2,18,454",4.7,152
228,Suzuki,Suzuki Avenis 125,124.3 ,50,8.58,106,"93,202",4.6,291
229,Suzuki,Suzuki Gixxer,155 ,45,13.41,141,"1,38,442",4.4,273
230,Suzuki,Suzuki Gixxer SF 250,249 ,36,26.13,161,"2,09,022",4.6,219
231,Suzuki,Suzuki Gixxer 250,249 ,35,26.13,156,"2,00,021",4.7,117
232,Suzuki,Suzuki Gixxer SF 250 Flex Fuel,249 ,36,26.13,161,"2,17,358",4.7,3
233,Suzuki,Suzuki GSX-8R,776 ,,,205,"9,25,000",,4
234,Suzuki,Suzuki Katana,999 ,,,217,"13,62,969",4.9,11
235,Suzuki,Suzuki V-Strom 800DE,776 ,,,232,"10,30,000",4.3,3
236,Suzuki,Suzuki E Access,,,,,,,
237,Suzuki,Suzuki GSX-8S,,,,,,,
